"","year","month","all","ep","epu","ep_count","epu_count"
"138","1996",7,439892,55.402824398529,42.4678911744908,196,8
"134","1996",8,455999,68.1707412397592,61.4517320801004,250,12
"144","1996",9,446753,61.7884633636819,67.950498541386,222,13
"143","1996",10,478659,92.2197672353727,92.6924037012919,355,19
"142","1996",11,460483,92.079441226667,65.9244512280797,341,13
"135","1996",12,446070,95.6121318471451,78.524470309575,343,15
"149","1997",1,472811,61.5389643751419,64.2055474065955,234,13
"148","1997",2,444526,49.7902987951826,78.7972142709135,178,15
"152","1997",3,494407,74.1923799719966,51.9547006388007,295,11
"145","1997",4,479079,59.1765456827477,29.2456237664286,228,6
"153","1997",5,491657,70.5608614448716,56.994873207935,279,12
"151","1997",6,466799,111.610744159201,105.052441542053,419,21
"150","1997",7,460533,96.9294148355703,106.481782324804,359,21
"146","1997",8,471867,51.9120904612022,108.872914099641,197,22
"156","1997",9,479528,61.4548655410952,53.5667733244514,237,11
"155","1997",10,524240,65.2265542843885,66.8156006237451,275,15
"154","1997",11,493406,64.5145150051257,127.783891658767,256,27
"147","1997",12,480819,63.6173221050655,92.275998376222,246,19
"161","1998",1,498483,42.9042182104449,46.8453427311692,172,10
"160","1998",2,476461,45.6701658356345,63.7136913091729,175,13
"164","1998",3,526503,57.3888234620134,57.6579603057529,243,13
"157","1998",4,545484,53.5682851275447,21.4044838901429,235,5
"165","1998",5,520033,68.6235041432142,31.4328607731874,287,7
"163","1998",6,485095,61.0059306373569,28.8829284746222,238,6
"162","1998",7,500134,63.3980205930425,46.6907008534941,255,10
"158","1998",8,498350,40.6700812123046,60.9151983041233,163,13
"168","1998",9,517097,44.4858207987975,27.0954273345172,185,6
"167","1998",10,546345,63.0426839025241,38.4673535633991,277,9
"166","1998",11,513088,39.5018690208151,36.4095156864498,163,8
"159","1998",12,504551,50.0279681254942,55.5383467217262,203,12
"173","1999",1,522865,46.1353751190862,44.6608722723101,194,10
"172","1999",2,510452,50.4240045744549,64.0456884739916,207,14
"176","1999",3,565723,59.1248894989557,94.9381518084314,269,23
"169","1999",4,558254,47.8882000984256,75.2934910725056,215,18
"177","1999",5,563723,40.1446366381729,45.5662935142394,182,11
"175","1999",6,530388,40.3233546124671,26.4164426578219,172,6
"174","1999",7,528776,47.2657136992025,52.9939490006991,201,12
"170","1999",8,545645,52.8688304052975,42.7963364104159,232,10
"180","1999",9,556845,48.679271136064,46.1291161431414,218,11
"179","1999",10,604812,49.9583138549176,15.443878084867,243,4
"178","1999",11,560211,54.1576850125378,41.683592397617,244,10
"171","1999",12,565149,56.3247016107594,33.0555049810389,256,8
"185","2000",1,564980,48.1984351571735,66.1307854597654,219,16
"184","2000",2,553251,52.3667487737697,59.0911715892533,233,14
"188","2000",3,620467,66.9344465040217,60.2168546740733,334,16
"181","2000",4,576804,76.9594314252207,60.726712143106,357,15
"189","2000",5,606632,71.7405375391086,65.4395611624913,350,17
"187","2000",6,570984,94.9476998856765,77.7045473485363,436,19
"186","2000",7,567923,74.8787432340611,45.2293139716609,342,11
"182","2000",8,610823,56.3879473050696,38.2297441004373,277,10
"192","2000",9,644022,86.1104885623576,181.29510312273,446,50
"191","2000",10,659643,110.649903859534,159.301669862299,587,45
"190","2000",11,639747,63.9454337766633,51.1018414669017,329,14
"183","2000",12,602942,161.269824630884,162.663654744201,782,42
"197","2001",1,627743,173.913996490724,215.756002835294,878,58
"196","2001",2,609446,125.068269665257,134.106425232613,613,35
"200","2001",3,681411,131.019881400417,106.235416863024,718,31
"193","2001",4,666971,135.534343830518,161.052567669423,727,46
"201","2001",5,695469,187.729887752399,110.803361524644,1050,33
"199","2001",6,643216,147.499176909725,177.89183447744,763,49
"198","2001",7,632109,136.714547238146,151.463732711782,695,41
"194","2001",8,679921,108.630027086946,65.2547182146995,594,19
"204","2001",9,706977,50.6534581598078,56.1513767309607,288,17
"203","2001",10,744039,52.8096488906098,84.7392930313946,316,27
"202","2001",11,717481,64.4695194351743,91.1306355789937,372,28
"195","2001",12,696411,69.4553776184184,114.006619272597,389,34
"209","2002",1,738087,150.10392402315,91.7502411557419,891,29
"208","2002",2,708962,116.281993451454,118.575868848233,663,36
"212","2002",3,776997,111.541205511519,126.225389954888,697,42
"205","2002",4,745212,96.6096751755312,119.074983396018,579,38
"213","2002",5,774573,85.4026163679927,87.4283769817927,532,29
"211","2002",6,711172,75.532001870391,131.341543146588,432,40
"210","2002",7,708821,72.624919360571,59.2997280909997,414,18
"206","2002",8,752472,64.7765212003044,117.926124196666,392,38
"216","2002",9,766400,59.2187541212159,100.548412103579,365,33
"215","2002",10,833088,82.538419847736,47.6513067852668,553,17
"214","2002",11,807748,82.664737721043,80.9466560682935,537,28
"207","2002",12,767460,82.6297282758208,112.580389633919,510,37
"221","2003",1,830703,76.1892855848878,78.7098391914462,509,28
"220","2003",2,786595,63.2310957167822,89.0608520801483,400,30
"224","2003",3,865475,57.1808283505192,43.1700178157177,398,16
"217","2003",4,830142,71.7472111073435,61.8852381369153,479,22
"225","2003",5,865279,58.9182163541769,64.7696948077873,410,24
"223","2003",6,803231,75.2346154947218,75.5874438981061,486,26
"222","2003",7,816609,72.9362195653886,62.9108120991259,479,22
"218","2003",8,829202,112.466406863185,64.7715466864784,750,23
"228","2003",9,844634,94.9539537518493,110.588051064302,645,40
"227","2003",10,928067,74.7612865351343,52.8392612380237,558,21
"226","2003",11,845560,88.6736897216383,52.4717977000528,603,19
"219","2003",12,827774,65.7936873955933,59.2412598842063,438,21
"233","2004",1,888167,59.7798939135071,36.8086742391082,427,14
"232","2004",2,870310,72.2933651517367,42.9301871391323,506,16
"236","2004",3,924495,64.4247652210909,58.0951720188008,479,23
"229","2004",4,912066,78.5268388240466,53.7662566737374,576,21
"237","2004",5,914998,63.3268184757494,45.9376879131873,466,18
"235","2004",6,863907,62.1782724693395,40.5453485976987,432,15
"234","2004",7,859333,62.364533510096,51.6308034990588,431,19
"230","2004",8,885146,59.9839224686977,52.7632887244848,427,20
